car_model_id,car_type_id,color_id,poster_id,condition_id,km,door_num,seat_num,car_year,price_num,price_words,area
17,3,5,223,2,0,4,5,2019,2000000000,2 Tỷ 179 Triệu,Bình Dương
17,3,10,206,2,0,4,5,2019,1000000000,1 Tỷ 899 Triệu,Hà Nội
17,3,4,207,2,0,4,5,2020,2000000000,2 Tỷ 159 Triệu,Hà Nội
17,3,3,74,1,0,4,5,2014,799000000,799 Triệu,Hà Nội
17,3,10,10807,2,0,4,5,2020,2000000000,2 Tỷ 129 Triệu,TP HCM
17,3,3,225,1,49000,4,5,2011,535000000,535 Triệu,Hà Nội
17,3,3,191,1,49000,4,5,2011,538000000,538 Triệu,Hà Nội
17,3,4,10703,1,0,4,5,2016,1000000000,1 Tỷ 50 Triệu,Hà Nội
17,3,3,226,1,40000,4,5,2016,1000000000,1 Tỷ 299 Triệu,Hà Nội
17,3,1,10811,1,86554,4,5,2010,439000000,439 Triệu,TP HCM
17,3,10,207,2,0,4,5,2019,1000000000,1 Tỷ 799 Triệu,Hà Nội
17,3,4,12672,1,75000,4,5,2013,750000000,750 Triệu,Hà Nội
17,3,3,228,1,12000,4,5,2018,1000000000,1 Tỷ 279 Triệu,TP HCM
17,3,1,956,1,79000,4,5,2009,445000000,445 Triệu,TP HCM
17,3,1,230,1,66000,4,5,2009,460000000,460 Triệu,Đăk Lăk
